customerid,customername,city,province
QS4506,Quantum Systems,Toronto,ON
SC9674,Stellar Consulting,Montreal,QC
SS3811,Sunlight Solutions,Vancouver,BC
NR3611,Nova Resources,Montreal,QC
CS6924,Cyber Services,Montreal,QC
AM1674,Aquatic Machine Tools,Toronto,ON
CI9891,Clarity Investigations,Toronto,ON
LM6201,Laser Motor Vehicles,Toronto,ON
QS1139,Quasar Solutions,Toronto,ON
SC3814,Starlight Consulting,Hamilton,ON
CS5977,Consolidated Space Exploration,Toronto,ON
AV1169,Aquatic Ventures,Calgary,AB
AS7573,Amalgamated Services,Montreal,QC
TM0916,Terrestrial Machine Tools,Toronto,ON
AR4386,Arctic Repairs,Toronto,ON
AS8179,Arctic Solutions,Montreal,QC
SV2287,Sanitary Ventures,Toronto,ON
NR9560,Northern Resources,Montreal,QC
ZF8085,Zenith Foods,Toronto,ON
QD2621,Quantum Dynamics,Winnipeg,MB
MR6252,Magenta Repairs,Calgary,AB
RV9064,Recycled Ventures,Hamilton,ON
QV5573,Quantum Ventures,Toronto,ON
AS0053,Acme Space Exploration,Saskatoon,SK
CS8317,Copper Services,Surrey,BC
CS2504,Copper Solutions,Montreal,QC
RS9813,Recycled Systems,Montreal,QC
QI5038,Quantum Investigations,Toronto,ON
SC7962,Sunlight Consulting,Winnipeg,MB
ZD7787,Zenith Dynamics,Saskatoon,SK
NF9938,Northern Foods,Montreal,QC
NE6537,Nova Enterprises,Whitehorse,YT
NF7397,Nanotech Foods,Toronto,ON
MM0344,Magenta Machine Tools,Calgary,AB
TS1163,Terrestrial Systems,Edmonton,AB
TC0514,Terrestrial Consulting,Hamilton,ON
CI4562,Copper Innovations,Edmonton,AB
ZH3981,Zenith Health,Winnipeg,MB
NM1588,Nova Motor Vehicles,Edmonton,AB
MR7651,Mega Resources,Hamilton,ON
